country,iso3,rcc,facility_name,facility_type,source_osm_type,osm_id,lat,lon,source,match_key_country_facility,name,commune,objet,access,addr_city,addr_country,addr_county,addr_district,addr_housename,addr_housenumber,addr_pobox,addr_postcode,addr_state,addr_street,addr_subdistrict,addr_suburb,alt_name,amenity,barrier,bed_count,bicycle,building,building_levels,check_date,contact_city,contact_email,contact_facebook,contact_fax,contact_mobile,contact_phone,contact_street,county,craft,denomination,description,designation,dispensing,district,disused,drive_through,electricity,email,emergency,entrance,facebook,fax,fid,fixme,foot,health,health_facility_ci,health_facility_type,healthcare,healthcare_cholera,healthcare_speciality,highway,image,insurance_health,internet_access,is_in,level,loc_name,man_made,motorcar,motorcycle,name_en,name_fr,nature_of_facility,note,nurses_num,office,official_status,old_addr_place,old_name,opening_hours,operational,operational_status,operator,operator_type,operator_name,operator_type_2,ownership,payment_cash,pcode,phone,phone_1,pole,post_addr,postal_code,project_anr_cohesion_bouake,project_geoloc_unicef,project_geoloc_unicef_id,project_opencities_abidjan,projet_eboci,projet_ogpci,public_transport,reg_id,religion,shelter,shop,short_name,source_date,source_date_2,start_date,sub_district,survey_date,water_source,website,wheelchair,who_code_csref,who_distance,who_nbre_village,addr_place,area,building_material,contact_website,doctors_num,elevator,full_name,health_facility,height,id,layer,name_ur,nat_name,official_name,operator_wikidata,operator_wikipedia,source_imagery,wall,wikidata,wikimedia_commons,wikipedia,type,facility_key
Côte d'Ivoire,CIV,Western Africa RCC,NA,NA,points,244519013,5.3378634,-4.0132786,OpenStreetMap via osmdata,cote d ivoire | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entrance,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Côte d'Ivoire,CIV,Western Africa RCC,Pharmacie Wakouboué,pharmacy,points,768587563,5.3397977,-4.0736017,OpenStreetMap via osmdata,cote d ivoire | pharmacie wakouboue,Pharmacie Wakouboué,NA,NA,NA,Yopougon,CI,NA,NA,NA,NA,NA,NA,Abidjan,Rue O13,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacie wakouboue
Côte d'Ivoire,CIV,Western Africa RCC,Pharmacie Keneya,pharmacy,points,768587606,5.3468317,-4.0731625,OpenStreetMap via osmdata,cote d ivoire | pharmacie keneya,Pharmacie Keneya,NA,NA,NA,Yopougon,CI,NA,NA,NA,NA,NA,NA,Abidjan,Rue O13,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacie keneya
Côte d'Ivoire,CIV,Western Africa RCC,Pharmacie Siporex,pharmacy,points,768587666,5.3555133,-4.074345,OpenStreetMap via osmdata,cote d ivoire | pharmacie siporex,Pharmacie Siporex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pharmacie Siporex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacie siporex
Côte d'Ivoire,CIV,Western Africa RCC,Pharmacie de la Djibi,pharmacy,points,773848800,5.4053782,-3.9805265,OpenStreetMap via osmdata,cote d ivoire | pharmacie de la djibi,Pharmacie de la Djibi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacie de la djibi
Côte d'Ivoire,CIV,Western Africa RCC,Pharmacie Sainte Harmony,pharmacy,points,773849057,5.4030657,-3.9808899,OpenStreetMap via osmdata,cote d ivoire | pharmacie sainte harmony,Pharmacie Sainte Harmony,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacie sainte harmony
Côte d'Ivoire,CIV,Western Africa RCC,Sainte Marte,pharmacy,points,773849141,5.4036228,-3.9850849,OpenStreetMap via osmdata,cote d ivoire | sainte marte,Sainte Marte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sainte marte
Côte d'Ivoire,CIV,Western Africa RCC,8e Tranche,pharmacy,points,773849163,5.4010592,-3.9778985,OpenStreetMap via osmdata,cote d ivoire | 8e tranche,8e Tranche,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e tranche
Côte d'Ivoire,CIV,Western Africa RCC,Centre de Santé Urbain à Base Communautaire de la Palmeraie,doctors,points,775786939,5.3633112,-3.9623724,OpenStreetMap via osmdata,cote d ivoire | centre de sante urbain a base communautaire de la palmeraie,Centre de Santé Urbain à Base Communautaire de la Palmeraie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cocody,NA,doctors,NA,NA,NA,NA,NA,NA,NA,csucomrivpalm@gmail.com,NA,NA,NA,+22522472678,NA,NA,NA,NA,"Accouchement Conseil et dépistage volontaire (CDV) Conseil, informations sur la santé sexuelle et reproductive",NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,doctor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/7,NA,NA,NA,public,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,ABJ_410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,centre de sante urbain a base communautaire de la palmeraie
Côte d'Ivoire,CIV,Western Africa RCC,NA,NA,points,782099983,5.345887,-3.9932352,OpenStreetMap via osmdata,cote d ivoire | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Côte d'Ivoire,CIV,Western Africa RCC,Pharmacie Espace Santé,pharmacy,points,844756662,5.3777505,-3.9977536,OpenStreetMap via osmdata,cote d ivoire | pharmacie espace sante,Pharmacie Espace Santé,NA,NA,NA,Cocody,CI,NA,NA,NA,NA,NA,NA,Abidjan,NA,NA,Deux Plateaux,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacie espace sante
Côte d'Ivoire,CIV,Western Africa RCC,Pharmacie Les Tulipes,pharmacy,points,845980478,5.3829382,-3.9930822,OpenStreetMap via osmdata,cote d ivoire | pharmacie les tulipes,Pharmacie Les Tulipes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacie les tulipes
Côte d'Ivoire,CIV,Western Africa RCC,NA,NA,points,1059606462,5.3594297,-4.0875754,OpenStreetMap via osmdata,cote d ivoire | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
