sitrep_no,page,line_no,line_text
40,1,57,1 2 décès supplémentaires enregistrés au Nord Kivu chez des cas confirmés antérieurs.
40,2,1,Figure 1. Chronologie des faits de l’épidémie de la maladie à virus Ebola-Bundibugyo.
40,2,3,3. ANALYSE ÉPIDÉMIOLOGIQUE DÉTAILLÉE
40,2,5,3.1 Distribution spatiale et foyers actifs au 23 juin 2026
40,2,6,Tableau 1. Répartition des cas et décès confirmés par province touchée en date du 23 juin 2026.
40,2,7,Nouveaux
40,2,8,Cas Décès Zones de santé cas
40,2,9,Province Létalité
40,2,10,confirmés (confirmés) touchées confirmés
40,2,11,(24h)
40,2,12,"Ituri 1020 238 23,3% 22 sur 36 (61,1 %) 23"
40,2,13,"Nord-Kivu 95 52* 54,7% 11 sur 34 (32,3 %) 1"
40,2,14,"Sud-Kivu 3 1 33,3% 1 sur 34 (2,9 %) 0"
40,2,15,"Total 1118 291 26,0% 34 sur 104 (32,7 %) 24"
40,2,16,* 2 décès supplémentaires enregistrés au Nord Kivu chez des cas confirmés antérieurs (1 à Kyondo et 1 à Musienne).
40,2,17,Aucune nouvelle zone de santé n’a été touchée à l’issue de la journée du 23 juin 2026. Le nombre des zones
40,2,18,"de santé affectées reste à 34/104 (section 3.1). Depuis le 26 mai 2026, la province du Sud-Kivu n’a enregistré"
40,2,19,"aucun cas confirmé, ce qui suggère une absence de transmission récente. Cependant, une surveillance active"
40,2,20,reste nécessaire.
40,2,21,3.2 Répartition par zone de santé (Cumul au 23/06/2026)
40,2,23," Province de l'Ituri (1 020 cas) : Bunia (304), Mongbwalu (241), Rwampara (225), Nyankunde (86), Nizi"
40,2,24,"(30), Lita (26), Mangala (17), Bambu (14), Komanda (13), Tchomia (8), Kilo (7), Aungba (6), Logo (5), Nia-"
40,2,25,"Nia (5), Damas (4), Rimba (3), Aru (3), Mambasa (2), Drodro (1), Gety (1), Kambala (1), et Fataki (1). Dix-"
40,2,26,sept (17) cas supplémentaires sont en attente de ventilation précise par zone de santé dans la province.
40,2,27," Province du Nord-Kivu (95 cas) : Katwa (32), Butembo (29), Beni (20), Oicha (3), Kyondo (3), Kalunguta"
40,2,28,"(2), Musienene (2), Goma (1), Masereka (1), Vuhovi (1) et Mabalako (1)."
40,2,29, Province du Sud-Kivu (3 cas) : Miti-Murhesa (3).
40,2,30,"3.3 Analyse temporelle : On observe un nombre croissant de cas confirmés d’une semaine à l’autre, traduisant"
40,2,31,une transmission continue de la maladie dans la communauté bien qu’au cours des semaines épidémiologiques
40,2,33,2
40,3,1,"23 et 24, le nombre des cas semblait être stable. L’intensification des actions de santé publique en matière de"
40,3,2,surveillance épidémiologique et biologique (décentralisation des capacités diagnostiques) a contribué à une
40,3,3,détection précoce confirmant une transmission communautaire continue et accrue à la S25. Etant donné que la
40,3,4,"S26/2026 n’est pas encore à son terme, nous ne saurons la comparer aux semaines antérieures."
40,3,9,3.4 Cartographie épidémique
40,3,14,Figures 2 & 3. Spatialisation des cas confirmés de la MVE par zones de santé affectées et dans les
40,3,15,trois provinces touchées en date du 23 juin 2026
40,3,20,3
40,4,1,Tableau 2. Répartition des cas et décès confirmés de la maladie à virus Ebola par province et zone de
40,4,2,santé (23 juin 2026)
40,4,3,Décès
40,4,4,"Cas confirmés Létalité (CFR,"
40,4,5,Province / Zone de santé confirmés
40,4,6,cumulés (n) %)
40,4,7,cumulés (n)
40,4,8,"ITURI 1020 238 23,3%"
40,4,9,"Bunia 304 54 17,8%"
40,4,10,"Rwampara 225 37 16,4%"
40,4,11,"Mongbwalu 241 103 42,7%"
40,4,12,"Nyankunde 86 9 10,5%"
40,4,13,"Nizi 30 6 20,0%"
40,4,14,"Lita 26 6 23,1%"
40,4,15,"Komanda 13 3 23,1%"
40,4,16,"Bambu 14 2 14,3%"
40,4,17,"Kilo 7 1 14,3%"
40,4,18,"Mangala 17 8 47,1%"
40,4,19,"Tchomia 8 0 0,0%"
40,4,20,"Damas 4 0 0,0%"
40,4,21,"Aungba 6 2 33,3%"
40,4,22,"Rimba 3 0 0,0%"
40,4,23,"Aru 3 1 33,3%"
40,4,24,"Mambasa 2 1 50,0%"
40,4,25,"Logo 5 0 0,0%"
40,4,26,"Drodro 1 1 100,0%"
40,4,27,"Gety 1 0 0,0%"
40,4,28,"Kambala 1 1 100,0%"
40,4,29,"Nia-Nia 5 3 60,0%"
40,4,30,"Fataki 1 0 0,0%"
40,4,31,"Autres zones non encore identifiées 17 0 0,0%"
40,4,32,"NORD-KIVU 95 52 54,7%"
40,4,33,"Butembo 29 13 44,8%"
40,4,34,"Katwa 32 19 59,4%"
40,4,35,"Beni 20 12 60,0%"
40,4,36,"Oicha 3 2 66,7%"
40,4,37,"Kalunguta 2 1 50,0%"
40,4,38,"Kyondo 3 2 66,7%"
40,4,39,"Goma 1 0 0,0%"
40,4,40,"Masereka 1 0 0,0%"
40,4,41,"Vuhovi 1 1 100,0%"
40,4,42,"Mabalako 1 0 0,0%"
40,4,43,"Musienene 2 2 100,0%"
40,4,44,"SUD-KIVU 3 1 33,3%"
40,4,45,"Miti-Murhesa 3 1 33,3%"
40,4,46,"TOTAL 1118 291 26,0%"
40,4,47,La situation épidémiologique de la 17ème épidémie de Maladie à Virus Ebola (MVE) en République
40,4,48,"Démocratique du Congo poursuit sa progression, 24 nouveaux cas confirmés dont 12 décès ont été"
40,4,50,4
40,5,1,"enregistrés au cours des dernières 24h, ramenant le cumul à 1 118 cas confirmés et 291 décès, exprimant un"
40,5,2,"taux de létalité global de 26,0%."
40,5,3,Dynamique provinciale et concentration des cas
40,5,4,"Environ 91,2% des cas (n=1 020) et 81,8% des décès (n=238), soit une létalité de 23,3% se concentrent dans"
40,5,5,"la province de l'Ituri, faisant d’elle l'épicentre absolu de l'épidémie. Les zones de santé de Bunia (304 cas),"
40,5,6,"Mongbwalu (241 cas), Rwampara (225 cas) concentrent 75,5% de tous les cas rapportés dans cette province"
40,5,7,"et sont par conséquent les plus affectées. Par ailleurs, les ZS de Bunia et Rwampara présentent des taux de"
40,5,8,"létalité modérés (17,8% et 16,4% respectivement) tandis que la zone de Mongbwalu affiche une sévérité"
40,5,9,"marquée, avec une létalité de 42,7% (103 décès pour 241 cas), suggérant des défis persistants dans la prise"
40,5,10,en charge précoce ou l'accès aux soins. Il sied de signaler que 17 cas supplémentaires (sans décès associé)
40,5,11,"ont été rapportés tandis les zones de santé de provenance restent à identifier, ce qui pourrait indiquer une"
40,5,12,extension géographique nécessitant une investigation renforcée.
40,5,13,Sévérité de l'épidémie au Nord-Kivu
40,5,14,"Un cumul de 95 cas confirmés et 52 décès a été rapporté dans cette province, soit un taux de létalité de 54,7"
40,5,15,"%. Cette dernière présente le profil le plus préoccupant en termes de gravité, plus élevé que la moyenne"
40,5,16,"nationale. Cette létalité élevée est portée par les zones de santé de Beni (60,0%), Katwa (59,4%) et Oicha"
40,5,17,"(66,7%). La zone de santé de Katwa vient en tête de notification en termes du nombre de cas (n=32), suivie de"
40,5,18,"la ZS de Butembo (n=29) avec une létalité inférieure (44,8%). Une létalité de 100% a été observée"
40,5,19,exceptionnellement dans la zone de Vuhovi (à faible effectif) exprimant la dangerosité du virus dans cette région
40,5,20,et de la nécessité d'une riposte clinique immédiate.
40,5,22,4. ACTIONS DE RIPOSTE PAR PILIER
40,5,23,4.1 Coordination
40,5,24,Nationale / Ituri :
40,5,25, Supervision des équipes terrain et des différentes structures de prise en charge des patients.
40,5,26, Tenue de la réunion de coordination et appui aux piliers de la réponse.
40,5,28,4.2 Surveillance épidémiologique
40,5,29,Tableau 3. Gestion des alertes épidémiologiques (24h) au 23 juin 2026
40,5,30,Indicateur Ituri Nord-Kivu Sud-Kivu Total
40,5,31,Report (J-1) 31 0 13 44
40,5,32,Nouvelles Alertes 129 515 11 655
40,5,33,Total Alertes du jour 160 515 24 699
40,5,34,Alertes investiguées 160 515 20 695
40,5,35,"Taux d'investigation 100,0% 100,0% 83,3% 99,4%"
40,5,36,Vivantes 47 39 7 93
40,5,37,Alertes validées
40,5,38,Décédées 19 26 0 45
40,5,39,Total des cas suspects du jour 66 65 7 138
40,5,41,"Au décours de la journée du 23 juin 2026, 699 alertes ont été remontées à travers les trois provinces, 695"
40,5,42,"(99,4%) ont été investiguées, 138 cas suspects dont 45 décès ont été identifiés (Tableau 3)."
40,5,46,5
40,6,1,Tableau 4. Suivi des contacts des cas confirmés au 23 juin 2026
40,6,3,Province Contacts sous suivi (n) Contacts vus (n) Taux de suivi (%)
40,6,5,"Ituri 6 312 4 918 77,9%"
40,6,6,"Nord-Kivu 1 938 1 421 73,3%"
40,6,7,"Sud-Kivu 96 96 100,0%"
40,6,8,"Total 8 346 6 435 77,1%"
40,6,9,*Le taux de suivi dans la province du Nord-Kivu a été calculé sur base des zones de santé ayant rapporté les données sur le suivi
40,6,10,"des contacts (complétude : 7/10 : 70,0%)."
40,6,12, Poursuite des investigations approfondies et du listage exhaustif et suivi systématique des contacts autour
40,6,13,"des cas confirmés dans les ZS (narratifs des cas confirmés, nombre de contacts listés et suivis par cas)."
40,6,14," 307 nouveaux contacts ont été listés dans 5 ZS de la province de l’Ituri. D’autre part, 155 contacts ont"
40,6,15,achevé leur suivi de 21 jours avec succès dont 78 au Sud-Kivu et 77 au Nord-Kivu.
40,6,16,Point sur les activités de points de contrôle et points d’entrées (PoC/PoE)
40,6,17," En Ituri : Quatre (4) alertes ont été notifiées aux PoE/PoC, dont 1 (vivant) validée et référée à l’HGR Bunia"
40,6,18,"à partir du PoC Mudzibala, un corps sans vie intercepté et swabé au PoC Mudzibala, 1 alerte (vivant)"
40,6,19,invalidée au PoC FONER Mambasa et 1 alerte (vivant) observée puis libérée au PoC Ombay/ZS Ariwara.
40,6,20,"Tableau 5. Suivi des indicateurs au Points d’entrées et Points de contrôle (PoE/PoC), en date du 23 juin"
40,6,21,2026
40,6,22,INDICATEURS Ituri Nord-Kivu Global
40,6,23,"Proportion de PoC activés et PoE renforcés 85,5% (47/55) 92,3% (12/13) 86,8% (59/68)"
40,6,24,Nombre des personnes passées aux PoE/PoC 72 530 150 276 222 806
40,6,25,"% des voyageurs screenés 99,7% 97,5% 97,5%"
40,6,26,"% des voyageurs ayant lavé les mains 97,7% 97,6% 97,7%"
40,6,27,"% des voyageurs sensibilisés 94,6% 97,0% 96,6%"
40,6,28,Nombre d’alertes notifiées 4 0 4
40,6,29,Nombre d’alertes vivantes validées 1 0 1
40,6,30,Nombre des corps sans vie interceptés ce jour 1 0 1
40,6,31,Nombre des contacts à problème interceptés ce jour 0 0 0
40,6,32,"% d’alertes vivantes validées référées au CT/CTE 100,0% 0,0% 100,0%"
40,6,33,"% des corps sans vie swabé 100,0% 0,0% 100,0%"
40,6,34,Nombre de résultat positif des cas suspects référés 0 0 0
40,6,35,4.3. Laboratoire
40,6,36," Ituri : 74 échantillons collectés et analysés (positivité 31,1% ; n=23)."
40,6,37, Nord-Kivu : 76 nouveaux échantillons collectés dont 39 ont été analysés et 1 est revenu positif à la
40,6,38,"MVE (positivité 2,6%)."
40,6,39," Sud-Kivu : 7 échantillons ont été collectés et analysés, tous sont revenus négatifs."
40,6,41,4.4. Prévention et Contrôle de l'Infection (PCI)
40,6,42,"Ituri : Réalisation de 25/29 enterrements dignes et sécurisés (EDS), avec 4 reports ; décontamination"
40,6,43,de 10 ménages et 4 ESS dans la ZS de Bunia et la ZS de Rwampara ; briefings et accompagnements
40,6,44,"PCI réalisés auprès de 85 prestataires dans les ZS de Bunia, Rwampara, Komanda et Nia-Nia ;"
40,6,45,décontamination d’un ESS à Mongbwalu après transfert de suspects ; dotation de kits et intrants
40,6,46,6
40,7,1,PCI/WASH à Mambasa et Mongbwalu ; 4 ESS et 1 église décontaminés autour des cas confirmés ;
40,7,2,"briefings et accompagnements PCI réalisés à Bunia, Mongbwalu, Bambu et Mambasa."
40,7,3,"Nord-Kivu : Briefing de 290 prestataires de soins des ZS de santé de Beni, Butembo, Katwa, Oicha,"
40,7,4,"Goma, Karisimbi et Nyiragongo sur différentes thématiques de la PCI dans le contexte de l’épidémie de"
40,7,5,"MVE ; évaluation de 11 ESS dont 6 à Beni, 3 à Butembo, 1 à Oicha et 1 à Katwa (Le score moyen est"
40,7,6,"de 45,8%) ; clôture de la formation de 34 prestataires de 17 ESS prioritaires de la ZS de Karisimbi avec"
40,7,7,l’appui de IMA ; décontamination 4 ESS dont 2 à Katwa et 2 à Beni autour des cas confirmés ;
40,7,8,décontamination d’un ménage dans l’aire de santé Kihinga autour du cas confirmé de la ZS de Katwa ;
40,7,9,dotation des intrants PCI aux CH Mukuna et CH Jérusalem dans la ZS de Katwa ainsi que l’HGR de la
40,7,10,"ZS d’Oicha ; au cours des dernières 24 heures, 26 alertes décès ont été prises en charge à la morgue"
40,7,11,"et 24 prélèvements post-mortem ont été réalisés avant l’inhumation. Toutefois, seulement 5 EDS ont"
40,7,12,été réalisées.
40,7,13,Sud-Kivu : Distribution des intrants PCI et PPE dans 5 ESS de la ZS Katana avec appui de l’OMS ; un
40,7,14,"atelier a été organisé avec des exercices de simulations (Port et retrait des EPI, EDS) ; coaching sur"
40,7,15,l’utilisation de l’outil Kobocollect pour la réalisation des évaluations score card PCI aux 45 membres du
40,7,16,pilier PCI à RIO ; bionettoyage des 17 écoles retenues comme centre d’examen d’état ; 4 évaluations
40,7,17,"scorecard réalisés dont 2 dans la ZS d’Idjwi (CH Nyakaingwa : 56,5%, CS Kisiza : 24,2%), 1 dans la ZS"
40,7,18,"Fizi (CH Mshimbakye : 43,5%,) et 1 dans la ZS Nundu (HGR Nundu : 32,3%) ; installation de 4 Points"
40,7,19,de contrôle (PoC) dont 3 dans l’AS Lwiro et 1 dans l’AS Kabushwa avec l’appui de PNHF/OIM.
40,7,20,4.5 Prise en charge holistique
40,7,21," Sept (7) patients ont été déclarés guéris en Ituri, après obtention des résultats de contrôle négatifs."
40,7,22,"Ainsi, le cumul des patients guéris est de 122 dont 113 en Ituri, 7 au Nord-Kivu et 2 au Sud-Kivu."
40,7,23," Deux (2) PPL guéris ont été réadmis au CTE Rwampara, dont un est redevenu positif."
40,7,24," Poursuite de la prise en charge médicale, des transferts vers les CTE/CT, des annonces de résultats"
40,7,25,"et du suivi nutritionnel des malades. Au total, 724 repas chauds ont été servi dont 163 chez les cas"
40,7,26,"confirmés, 146 aux cas suspects, 353 aux PPL et 62 aux accompagnants."
40,7,27,Tableau 6. Mouvement des patients dans les établissements de soins (CTE/CT/CI) au 23 juin 2026
40,7,29,Indicateur Ituri Nord-Kivu Sud-Kivu Ensemble
40,7,30,Patients au lit (J-1) 321 56 10 387
40,7,31,Total admissions (24h) 46 8 7 61
40,7,32,Sorties (24h)
40,7,33,Décédés (Suspects/Conf.) 9 0 0 9
40,7,34,Non-cas 14 5 5 24
40,7,35,Guéris 7 0 0 7
40,7,36,Évadés (Suspects/Conf.) 0 0 0 0
40,7,37,Transférés à l'HGR 0 0 0 0
40,7,38,Total sorties 30 5 5 40
40,7,39,Patients en isolement (Fin J) 337 59 12 408
40,7,40,dont confirmés (NC+AC) 175 17 0 192
40,7,41,dont suspects 162 42 12 216
40,7,42,"Taux d'occupation global 91,3% 57,3% 37,5% 81,0%"
40,7,44,7
40,8,1,Activités de santé mentale et soutien psychosocial
40,8,2,Tableau 7. Indicateurs clés des activités de santé mentale et soutien psychosocial au 23 juin 2026
40,8,4,INDICATEURS CLES ITURI NORD-KIVU SUD-KIVU
40,8,5,"Nouveaux cas confirmés admis au CTE ayant bénéficié 65 (100,0%) 1 (100,0%) 0"
40,8,6,d'interventions SMSPS
40,8,7,"Cas confirmés en cours de suivi ayant bénéficié d'interventions 51 (47,7%) 12 (100,0%) 0"
40,8,8,SMSPS
40,8,9,"Nouveaux cas suspects ayant bénéficié d'interventions SMSPS 7 (26,9%) 6 (100,0%) 0"
40,8,10,"Cas suspects en cours de suivi ayant bénéficié d'interventions 56 (43,1%) 16 (100,0%) 3 (100,0%)"
40,8,11,SMSPS
40,8,12,Résultats de laboratoire ayant été annoncés 26 6 0
40,8,14,Dont positifs 16 1 0
40,8,15,"Nb Enfants séparés en crèche ayant bénéficié d'interventions 2 (100,0%) 0 (0,0%) 1 (100,0%)"
40,8,16,SMSPS
40,8,17,Nb Enfants séparés en communauté ayant bénéficié d'interventions 0 0 31
40,8,18,SMSPS
40,8,19,Nb accompagnants au CTE ayant bénéficié d'interventions SMSPS 34 15 4
40,8,21,Nb PPL ayant bénéficié d'interventions SMSPS 7 6 22
40,8,22,Nb membres des ménages et communautés ayant bénéficié 8 32 0
40,8,23,d'interventions SMSPS
40,8,24,Nbre d'EDS appuyés 0 4 0
40,8,27,4.6 Continuité des soins
40,8,28," Suivi des travaux d’extension du CTE Rwampara, amélioration progressive du plateau technique et"
40,8,29,poursuite des transferts des malades des ESS/communautés vers les sites retenus pour la prise en
40,8,30,charge
40,8,32,4.7 Communication sur les risques et engagement communautaire
40,8,34,"Ituri : 97 activités de sensibilisation de masse ont été rapportées, touchant 4 333 personnes ; 1 587 ménages"
40,8,35,ont été visités et 375 causeries éducatives ont permis de toucher 9 375 personnes. Les activités ont porté sur
40,8,36,"les mesures de prévention, la remontée des alertes, l’importance de l’EDS, la décontamination et le suivi des"
40,8,37,contacts ; 1 587 visites à domicile par les recos pour atteindre 6 392 (2882 hommes et 3510 femmes) dans les
40,8,38,"ZS de Mongbwalu, Rwampara, Nyankunde sur les mesures prévention à la MVE et la remontée des alertes des"
40,8,39,décès et vivants ; Causerie éducative dans les ZS de Rethy et Rwampara avec 2 983 (1 219H et 1 764F) portant
40,8,40,sur les mesures préventives et les avantages de se rendre précocement au CTE ; 18 diffusions des spots et
40,8,41,message sur les mesures préventives de la MVE.
40,8,43,"Appui aux piliers de la réponse : Surveillance : Listage, investigation et recherche de contact dans les AS"
40,8,44,Rwampara DELE et CTE CME. PEC : appui à l’admission des 4 personnes au CTE dont 3 hommes et 1 femme ;
40,8,45,conscientisation d’une famille pour l’adhésion au référencement au CTE pour une patiente présentant les
40,8,46,"symptômes (AS LENGABO). PCI : Décontamination (AS HOHO, ZS RWAMPARA,) ; préparation de 11 familles"
40,8,47,à l’adhésion à l’EDS (ZS RWAMPARA). Résultat : EDS réalisés
40,8,50,8
40,9,1,Nord-Kivu : 38 541 personnes sensibilisées (22 274 femmes et 16 267 hommes) dont 1 248 personnes
40,9,2,supplémentaires (318 hommes et 854 femmes) touchées lors des visites à domicile dans les Zones de Santé
40,9,3,"de Goma, Karisimbi et Nyiragongo. Ces activités ont été conduites par 2 077 RECO avec 11 544 ménages"
40,9,4,"visités ; 2 159 personnes sensibilisées dans les lieux publics (marchés, parkings et espaces communautaires)"
40,9,5,"grâce aux volontaires de la Croix-Rouge, incluant 15 membres de la communauté de l’aire de santé de"
40,9,6,KATSYA ; Une émission interactive diffusée sur la RTCT a également généré 143 réactions communautaires
40,9,7,"(appels et SMS), traduisant un fort engagement des populations ; 122 acteurs communautaires (82 renforcés"
40,9,8,"en capacités et 40 participants au dialogue communautaire, dont PRESICODESA et leaders locaux) ont été"
40,9,9,"engagés à Karisimbi pour renforcer la prévention de la MVE, la remontée des alertes et la gestion des réticences"
40,9,10,"; 88 alertes communautaires rapportées, accompagnées de 3 rumeurs collectées et clarifiées, contribuant à"
40,9,11,améliorer la compréhension de la maladie et à réduire la désinformation ; 18 radios locales engagées ont assuré
40,9,12,"la production et la diffusion de 3 formats de communication (émissions interactives, spots radio et"
40,9,13,microprogrammes) ; 93 enseignants et préfets d’instituts mobilisés dans la riposte à la MVE durant les Examens
40,9,14,"d’État ont permis de sensibiliser 2 175 élèves aux mesures de prévention, notamment l’hygiène des mains en"
40,9,15,milieu scolaire.
40,9,16,"Suivi de l’infodémie : 211 feedbacks ont été captés via les canaux communautaires, radios, call center et"
40,9,17,"plateformes en ligne, avec une prédominance du call center (58%). Les analyses soulignent la nécessité de"
40,9,18,"renforcer l’écoute sociale, la réponse aux rumeurs et la diffusion des témoignages de guéris, notamment face"
40,9,19,aux inquiétudes communautaires relevées à Katwa au Nord-Kivu.
40,9,21,4.8. Logistique
40,9,22," Au total : 28 véhicules et 9 Ambulances (PNC, FARDC) ont été mis à la disposition des différents piliers"
40,9,23,pour assurer leur mobilité vers les axes.
40,9,24, Livraison des intrants Médicaments UNICEF pour la ZS de LITA
40,9,25, Complément de chargement des intrants PCI et PEC pour la ZS LOGO
40,9,26, Approvisionnement en intrants PCI pour le pilier « Bien être ».
40,9,29,4.9. Sécurité
40,9,30, La situation sécuritaire reste calme mais imprévisible à Bunia et environs.
40,9,32,4.10. PSEA (Prévention contre l'Exploitation et les Abus Sexuels)
40,9,33," Poursuite des briefings des acteurs, de la sensibilisation communautaire sur les exploitations, abus et"
40,9,34,"harcèlements sexuels, ainsi que de la signature des codes de bonne conduite."
40,9,35," Sud-Kivu : Briefing de 46 RECO et leaders communautaires dans la ZS de MITIMURHESA, AS de"
40,9,36,"Saint SPX, dont 23F et signature du code de bonnes conduites."
40,9,41,9
40,10,1,"5. PRINCIPAUX DÉFIS, IMPACTS ET ACTIONS REQUISES"
40,10,3,N° Défis Impact Actions requises
40,10,4,"1 Réticence aux prélèvements post Retard de confirmation, Intensifier la CREC, implication des leaders"
40,10,5,"mortem (EDS / swabs) et sous-estimation des cas, religieux et communautaires, renforcement de"
40,10,6,résistance communautaire perturbation des activités la sécurité des équipes
40,10,7,clés
40,10,8,"2 Capacité insuffisante en CTE et Retards d’admission, Accélérer la construction et l’expansion des"
40,10,9,"saturation en Ituri (91,3%) augmentation du risque CTE, déployer des structures temporaires"
40,10,10,de transmission supplémentaires
40,10,11,nosocomiale
40,10,12,"3 Faible performance du suivi des Chaînes de transmission Former, déployer et motiver les relais"
40,10,13,"contacts (77,1% vs cible 95%) non interrompues communautaires (RECO), supervision"
40,10,14,renforcée
40,10,15,"4 Faible remontée des alertes dans Transmission non Renforcer la surveillance communautaire,"
40,10,16,"certaines ZS affectées détectée, expansion améliorer la remontée et l’investigation rapide"
40,10,17,silencieuse de l’épidémie des alertes
40,10,18,"5 Cas confirmés non localisés ou Lacunes majeures dans Conduire une réconciliation des données,"
40,10,19,"non classifiés (17 cas) la reconstruction des élaguer les possibles doublons, et reclassifier"
40,10,20,chaînes de transmission ou préciser la zone de santé et le statut
40,10,21,"(décès, guéris, actifs, etc.) Vérification active"
40,10,22,sur le terrain
40,10,23,6 Insuffisance d’approvisionnement Fragilisation de la prise Plaidoyer et approvisionnement urgent en
40,10,24,en MEG et intrants médicaux en charge globale médicaments essentiels
40,10,25,"7 Insuffisance des intrants PCI Risque élevé d’infections Approvisionnement urgent, renforcement des"
40,10,26,"(EPI, chlore) et formation limitée nosocomiales (78 cas formations en PCI"
40,10,27,"HCW dont 18 décès,"
40,10,28,"létalité 23,1%)"
40,10,29,"8 Stock des échantillons non Retard de confirmation, Déployer un plan de rattrapage laboratoire,"
40,10,30,"encore analysés (backlog) au létalité élevée (54,7%) renforcer les capacités diagnostiques"
40,10,31,laboratoire au Nord-Kivu et
40,10,32,diagnostic tardif
40,10,33,9 Insuffisance d’ambulances et de Retards de transfert et Déploiement urgent de moyens logistiques et
40,10,34,"structures d’isolement (gap de 20 isolement, augmentation infrastructures supplémentaires"
40,10,35,centres) du risque de transmission
40,10,36,10 Coordination insuffisante et faible Inefficience Renforcer les mécanismes de coordination à
40,10,37,"utilisation des cadres COUSP opérationnelle et tous les niveaux, rendre opérationnels les"
40,10,38,décisions retardées COUSP provinciaux
40,10,39,"11 Insuffisance des ressources Limitation de la mise en Mobilisation urgente des ressources, plaidoyer"
40,10,40,financières (gap 20 millions USD) œuvre de tous les piliers auprès des partenaires
40,10,41,de la riposte
40,10,42,12 Insécurité et accès limité Restriction des Renforcement de la coordination sécuritaire et
40,10,43,"(CODECO, ADF) opérations, accès limité accès humanitaire"
40,10,44,aux zones à haut risque
40,10,45,13 Continuité des services essentiels Augmentation de la Mise en œuvre effective de la gratuité des
40,10,46,"(CEHS) compromise mortalité indirecte (non soins, renforcement CEHS"
40,10,47,Ebola)
40,10,48,14 Forte mobilité des populations Risque élevé d’expansion Renforcer la surveillance aux PoE/PoC et
40,10,49,géographique rapide coordination transfrontalière
40,10,54,10
