sitrep_no,indicator_code,domain,value,value_source,source_type,extraction_rule,priority,evidence,extracted_at,candidate_flag,qc_valid,qc_note
12,samples_analyzed,laboratory,9,observed,text_line,tbl_samples_analyzed,3,Échantillons analysés 9,2026-06-25 17:00:43.170467,candidate_ok,TRUE,selected_observed_candidate
13,contacts_followed_up,contacts,1048,observed,full_text,narr_contacts_followed,4,"MINISTERE DE LA SANTE PUBLIQUE, HYGIENE ET PREVOYANCE SOCIALE Centre des opérations d’urgences de sante publique « COUSP-RDC » Rapport de la Situation D Maladie à Virus Ebola Sitrep MVE N° 13/MVE_16/2025 Pays/Province : RDC/Kasaï Zone de Santé : BULAPE, MWEKA et MUSHENGE Date de rapportage : 18 Sept 2025 Date de publication : 20 Sept 2025 Période couverte : 01 – 12 Sept 2025 40 Date de publication 10Sept 2025 : 15 23 65,7% 1720 613 Cas Cas probables Décès Cas Taux Nombre de doses Nombre de confirmés d’occupation de vaccin personnes Confirmés des lits déployées vaccinés I. POINTS SAILLANTS • Deux (2) nouveaux cas confirmés : un dans l’aire de santé (AS) de Bambalaie et un autre dans l’AS de Mpianga ▪ Décès inexpliqué de 5 cochons et 1 chèvre dans l’AS d’Inongo ▪ Réception des clés de contact de 12 motos et équipements pour la banque de sang, NARRATIF DU CAS INDEX Le 20 août 2025, une femme enceinte de 34 ans a été admise au service de gynéco-obstétrique de l’HGR de Bulape, présentant la fièvre, la diarrhée sanglante, des vomissements hémorragiques et une anémie sévère. Elle est décédée quelques heures plus tard dans un tableau de défaillance multi viscérale. Dans les jours qui ont suivi, un technicien de laboratoire et une infirmière ayant été en contact avec la patiente ont manifesté les mêmes symptômes et sont également décédés. Entre les semaines épidémiologiques 34 et 36, treize cas ont été notifiés, dont huit décès, soit un taux de létalité de 62 %. L’épidémie a été officiellement déclarée à la suite de la confirmation de cinq cas positifs par l’INRB en date du 04 septembre 2025. II. MISE A JOUR DE LA SITUATION EPIDEMIOLOGIQUE 1. Situation des alertes Tableau 1. Situation journalière des alertes et investigations INDICATEURS 13/09/2025 14/09/2025 15/09/2025 16/09/2025 17/09/2025 18/09/2025 Report alertes 0 ND 0 2 3 3 Nouvelles alertes signalées du 12 ND 16 9 6 12 jour Total alertes du jour 12 ND 16 11 9 15 Alertes investiguées du jour 12 ND 14 8 6 9 Alertes Validées du jour 12 ND 13 4 5 6 Cas suspect du jour 12 ND 13 4 5 6 Suspects prélevés 9 ND 12 0 0 1 Transférés au CTE 9 ND 12 4 3 6 On observe une fluctuation du nombre de nouvelles alertes signalées, avec un pic le 15 septembre (16 alertes). Le nombre d’alertes validées et de cas suspects suit globalement la même tendance. Cependant, le nombre de suspects prélevés varie fortement. Le transfert des cas au CTE est en décroissance les deux derniers jours. 2. Situation des cas de MVE. Tableau 2. Situation des cas suspects, probables, confirmés et décédés Cas suspects du Cas Cas confirmés Décès jour probables Total Tx de ZONE DE Nouveaux Total Total de létalité SANTE Nouveaux Total décès décès décès Vivants Décédés DCD cas (%) confirmés confirmés parmi les parmi les confirmés confirmés BULAPE 6 0 10 2 40 50 0 23 33 66% MWEKA 0 0 0 0 0 0 0 0 0 KAKENGE 0 0 0 0 0 0 0 0 0 MUSHENGA 0 0 0 0 0 0 0 0 0 ILEBO 0 0 0 0 0 0 0 0 0 TOTAL 6 0 10 2 40 50 0 23 33 66% Les cas de MVE sont exclusivement focalisés dans la zone de santé de Bulape, qui demeure l’épicentre de la flambée actuelle. Sur les 50 cas rapportés au total, 40 sont confirmés et 10 probables. Parmi les cas confirmés, vingt-trois (23) cas confirmés décédés. Le taux de létalité est de de 66 %. Fig1.Répartition géographique des cas confirmés par Aires de santé dans la ZS de Bulape Fig2. Répartition géographique des zones de santé affectées, cas confirmés et décès liés à la MVE dans la province du Kasaï, RDC – 18 Septembre 2025 3. Suivi des contacts. Tableau 3. Suivi des contacts Indicateurs Nombre Report à suivre 1048 Contact à suivre 1048 Contacts suivis vus 902 Raisons de non suivis Taux de suivi de contact 86 % Contacts non vus 146 Contacts suivis non vus 146 Absence simple ND Contacts devenu suspects 0 Reco n’est pas ND passé Sorties du suivi après 21 58 Perdus de vue ND jours Nouveaux contacts du jour 0 Jamais vus ND PDV 1 Sur un total 1048 contacts à suivre, 902 contacts ont été vus soit une proportion de suivi de 86%. III. ACTIONS DE LA RIPOSTE COORDINATION ▪ Réunion stratégique SGI national MVE. ▪ Réunions avec les partenaires sur le financement des parties prenantes. PLANIFICATION Réunion de la Cellule d’analyses intégrées SURVEILLANCE ▪ Mise à jour des bases de données (cas, alertes, contacts et suivi des contacts). ▪ Briefing de 13 superviseurs sur le contact tracing (identification et suivi des contacts). ▪ Réception et configuration de deux téléphones pour la cellule d’alerte. ▪ Élaboration des SOPs de la cellule d’alerte, d’investigation et de suivi des contacts. ▪ Mission d’investigation à Bambalaie concernant un cas suspect (co-patient d’un cas confirmé antérieur), avec 54 contacts identifiés et listés. ▪ Décès inexpliqués de 5 cochons et 1 chèvre depuis jeudi dans l’AS Ingongo. LABORATOIRE Indicateurs Données Observations Échantillons reçus (total) 12 Nouveaux cas suspects 6 Re-prélèvements 6 Échantillons analyses 6 Nouveaux cas 6 Re-prélèvements analyses 6 Résultats des tests Échantillons de sang ND Cas confirmés du jour 2 Non-cas du jour 10 Cumul des non-cas 77 52 à Bulape. Cumul total des cas confirmés 40 Six (6) échantillons ont été reçus et analysés au laboratoire (6 cas suspects). Deux échantillons (2) étaient positifs. A ce jour un total de 40 cas confirmés ont été diagnostiqués. POINTS D’ENTREE ▪ Pratique sur le terrain de la cartographie de la mobilité de la population. ▪ Début des activités de rapportage des données de contrôle sanitaire au PoC de Busholo, dans l’aire de santé de Luayi Bushongo (à 12 km de Bulape, sur l’axe Bulape–Mushenge). ▪ Supervision formative des activités aux PoC de Mpianga. ▪ Réunion d’harmonisation entre les sous-piliers CREC et Points d’entrée. ▪ Nombre de personnes sensibilisées aux points d’entrée des zones de santé de Bulape et Luebo : 3518. PRISE EN CHARGE MÉDICALE, NUTRITIONNELLE et PSYCHOSOCIALE Indicateurs Bulape Bambalaie Total Nombre de lits montés suspects 17 0 17 Nombre de lits montés confirmés 17 1 18 Nombre de cas suspects 9 0 9 Nombre de cas confirmés 13 1 14 Taux d'occupation Bloc suspects 52,9% 52,9% Taux d'occupation Bloc confirmés 76,4% 100% 77,7% Nouveaux cas confirmés du jour 1 1 2 Décès parmi les confirmés 0 0 0 Guéris déchargés du jour 0 0 0 Total guéris déchargés 2 0 2 Un total de 14 malades étaient hospitalisés en date du 18/09/2025 dont treize (13) à Bulape et 1 à Bambalaie. Parmi ces malades il y avait 9 suspects et 14 confirmés. A Bulape le taux d’occupation du bloc des suspects était de 52.9 % tandis que qu’il était de 82.3 % du coté de bloc des confirmés. Tandis qu’à Bambalaie il n’y avait qu’un seul lit monté dans le bloc des confirmé. Un total de deux (2) guéris ont déjà été déchargés du CTE. Les activités implémentées : ▪ Mise en place d’une zone d’isolement à Bambalaie ▪ Isolement d’un cas suspect en état instable à Bambalaie. ▪ Arrivée d’un réfrigérateur pour le stockage du sang. PCI/WASH ▪ Incinération de 29 matelas, dont 14 provenant de la maternité, 10 du service de médecine interne femmes et 5 de la salle privée femmes, à l’HGR de Bulape. ▪ Installation du triage au centre de santé (CS) Bulape communautaire. ▪ Briefing sur le fonctionnement du triage au CS Bulape communautaire. ▪ Sensibilisation de la communauté de l’aire de santé (AS) de Mpianga sur la MVE et l’importance de la décontamination des ménages de cas confirmés. ▪ Décontamination de 2 ménages sur 2 autour du cas confirmé dans l’AS de Mpianga. VACCINATION ▪ Tenue de la réunion du pilier Vaccination. ▪ Supervision des équipes de vaccination. ▪ Réception de 1000 doses de vaccin ; stock total : 1420 doses. ▪ Recyclage (remise à niveau) des équipes de vaccination. ▪ Vaccination des humanitaires, des agents de l’ordre, du personnel du BCZ et des contacts. ▪ Trois (3) déchargés non-cas ont été vaccinés. ▪ Planification en cours de la stratégie géographique. COMMUNICATION ▪ Sensibilisation et orientation vers le ring de vaccination à Bulape de trois contacts à haut risque : la veuve du cas décédé à Bambalaie, sa mère et sa belle-mère (toutes ont été vaccinées) ▪ Fin de la formation de 75 relais communautaires de Bulape sur la surveillance à base communautaire et la Communication sur les Risques et l’Engagement Communautaire (CREC) ▪ Contextualisation des messages clés aux réalités du terrain SECURITE ▪ Monitorage sécuritaire quotidien LOGISTIQUE ▪ Approvisionnement en intrants pour les différents piliers ▪ Appui logistique aux différents piliers. ▪ Réception des clés de contact de 12 motos, des équipements pour la banque de sang, de 20 matelas pour l’HGR, d’un écran de 65 pouces, de 5 banques d’énergie APC (60 000 watts), d’un ordinateur portable Dell, et de 24 rallonges électriques. ▪ Suivi des travaux d’aménagement du Centre de Traitement Ebola (CTE) ▪ Identification de motos de location pouvant appuyer les descentes des équipes sur le terrain. ▪ Réception d’intrants arrivés par hélicoptère (2 rotations). ▪ Actualisation des outils avec le logo du Ministère. ▪ Élaboration du répertoire des véhicules mobilisés en appui à la riposte. IV. DEFIS. ▪ Mise en place d’un centre d’alerte. ▪ Besoin en staff, matériels et réactifs additionnels pour installer un laboratoire de diagnostic de la MVE à Mweka et à Tshikapa. ▪ Insuffisance en psychologues cliniciens. ▪ Prise en charge nutritionnelle. ▪ Absence d’ambulance. ▪ Matériels roulants & matériels informatiques. QUELQUES IMAGES DU TERRAIN Célébration de la sortie d’une guérie Investigation de l’équipe conjointe dans la communauté Dotation en intrants essentiels Pour l’Institut National de Santé Publique (INSP) de la RDC Le Directeur Général de l’INSP Dr MWAMBA KAZADI Dieudonné Pour toute information Tel. : +243 816 040 145 supplémentaire, veuillez E-mail : dieudonnemwambakazadi@gmail.com contacter Le Coordonnateur COU-SP Prof NGANDU Christian Tél. : +243998091915 E-mail : nganduchristian@ymail.com L’Incident Manager SGI MVE Epi16 Dr. KITENGE OMASUMBU Richard Richard.kitenge@insp.cd Dr. TSHAPENDA Gaston tshapindon@gmail.com Pour l’Organisation Mondiale de la Santé (OMS) Le Représentant de l’OMS en RDC : Dr Nikiema Jean Baptist E-mail : nikiemaje@who.int Incident Manager de l’OMS dans la réponse MVE : Dr Mory Keita E-mail: mokeita@who.int Le Team Lead Cluster EPR de l’OMS en RDC : Dr Mouctar Diallo E-mail : dialloam@who.int",2026-06-25 17:00:54.144643,candidate_ok,TRUE,selected_observed_candidate
13,cumulative_confirmed_cases,cases,40,observed,text_line,box_horizontal_cases_safe,6,échantillons (2) étaient positifs. A ce jour un total de 40 cas confirmés ont été diagnostiqués.,2026-06-25 17:00:52.391959,candidate_ok,FALSE,invalidated_decreased_vs_sitrep_6_value_1881
13,samples_analyzed,laboratory,6,observed,text_line,tbl_samples_analyzed,3,Échantillons analyses 6,2026-06-25 17:00:52.248686,candidate_ok,TRUE,selected_observed_candidate
14,case_fatality_ratio,deaths,64.71,observed,text_line,total_row_cases_deaths_cfr,2,"Total 51 33 64,71 41 23 56,1",2026-06-25 17:00:57.314387,candidate_ok,TRUE,selected_observed_candidate
14,contacts_followed_up,contacts,990,observed,full_text,narr_contacts_followed,4,"MINISTERE DE LA SANTE PUBLIQUE, HYGIENE ET PREVOYANCE SOCIALE Centre des opérations d’urgences de sante publique « COUSP-RDC » Rapport de la Situation Maladie D à Virus Ebola Sitrep MVE N° 13/MVE_16/2025 Pays/Province : RDC/Kasaï Zone de Santé : BULAPE, MWEKA et MUSHENGE Date de rapportage : 19 Sept 2025 Date de publication : 22 Sept 2025 Période couverte : 01 – 12 Sept 2025 41 Date de publication 10Sept 2025 : 15 23 68,4% 1720 1210 Cas Cas probables Décès Cas Taux Nombre de doses Nombre de confirmés d’occupation de vaccin personnes Confirmés des lits déployées vaccinés I. POINTS SAILLANTS ▪ Un (1) nouveau cas confirmé a été notifié dans l’aire de santé de Bambalaie. ▪ Aucun décès parmi les cas confirmés n’a été enregistré ce jour. ▪ Un total de 439 PPL ont été vaccinées à ce jour ▪ Une alerte a été reçue en provenance de la Zone de Santé de Kakenge, au niveau du centre de santé de Momono. ▪ Huit (8) nouveaux cas suspects ont été détectés dans la Zone de Santé de Bulape. ▪ Une supervision des équipes de vaccination a été effectuée dans les aires de santé de Bambalaie et Mpata Mbamba. ▪ Le lancement de la commande de 1 500 doses de vaccin a été effectué auprès du PEV Central. ▪ Les activités de contrôle sanitaire ont démarré au point de contrôle de Busholo, situé sur l’axe Bulape–Mushenge. NARRATIF DU CAS INDEX Le 20 août 2025, une femme enceinte de 34 ans a été admise au service de gynéco- obstétrique de l’HGR de Bulape, présentant la fièvre, la diarrhée sanglante, des vomissements hémorragiques et une anémie sévère. Elle est décédée quelques heures plus tard dans un tableau de défaillance multi viscérale. Dans les jours qui ont suivi, un technicien de laboratoire et une infirmière ayant été en contact avec la patiente ont manifesté les mêmes symptômes et sont également décédés. Entre les semaines épidémiologiques 34 et 36, treize cas ont été notifiés, dont huit décès, soit un taux de létalité de 62 %. L’épidémie a été officiellement déclarée à la suite de la confirmation de cinq cas positifs par l’INRB en date du 04 septembre 2025. II. MISE A JOUR DE LA SITUATION EPIDEMIOLOGIQUE 1. Situation des alertes Tableau 1. Situation journalière des alertes et investigations INDICATEURS 13/09/2025 14/09/2025 15/09/2025 16/09/2025 17/09/2025 19/09/2025 Report alertes 0 ND 0 2 3 4 Nouvelles alertes signalées du 12 ND 16 9 6 11 jour Total alertes du jour 12 ND 16 11 9 15 Alertes investiguées du jour 12 ND 14 8 6 9 Alertes Validées du jour 12 ND 13 4 5 8 Cas suspect du jour 12 ND 13 4 5 8 Suspects prélevés 9 ND 12 0 0 0 Transférés au CTE 9 ND 12 4 3 6 On observe une fluctuation du nombre de nouvelles alertes signalées, avec un pic le 15 septembre (16 alertes). Le nombre d’alertes validées et de cas suspects suit globalement la même tendance. Cependant, le nombre de suspects prélevés varie fortement. Le transfert des cas au CTE est en décroissance les deux derniers jours` 2. Situation des cas de MVE. Tableau 2 Répartition des cas suspects, probables, confirmés et des décès de MVE par Zone de Santé Cas Cas suspects du probable Cas confirmés Décès jour s Tota Total Tx de ZONE DE Nouveau Total Nouveau l de décè létalit SANTE Total x décès décès Vivant Décédé x cas s é (%) DCD confirmé parmi les parmi les s s confirmé s confirmé confirmé s s s BULAPE 8 0 10 1 41 51 0 23 33 64.7% MWEKA 0 0 0 0 0 0 0 0 0 KAKENGE 0 0 0 0 0 0 0 0 0 MUSHENG 0 0 0 0 0 0 0 0 0 A ILEBO 0 0 0 0 0 0 0 0 0 TOTAL 8 0 10 1 41 51 0 23 33 64.7% Les cas de MVE sont exclusivement focalisés dans la zone de santé de Bulape, qui demeure l’épicentre de la flambée actuelle. Sur les 51 cas rapportés au total, 41 sont confirmés et 10 probables. La zone n’a enregistré aucun nouveau décès parmi les cas confirmés soit un total à 23 cas confirmés décédés. Le taux de létalité est de de 64,7 %. Tableau 3. Répartition des cas (confirmés + probable) de la MVE 2025 Par aires de santé au 19 septembre 2025 Létalité Décès Aires de santé Cas Décès Cas confirmés Létalité (%) (%) confirmés Bulape 21 16 76,2 13 8 61,5 Dikolo 20 12 60,0 19 11 57,9 Bulape Com. 4 4 100,0 3 3 100,0 Bambalaie 3 1 33,3 3 1 33,3 Mpianga 2 0 0,0 2 0 0,0 Ikongo 1 0 0,0 1 0 0,0 Total 51 33 64,71 41 23 56,1 Les deux aires de santé les plus touchées de l’épicentre sont les aires de Bulape et Bikolo. Le taux de létalité globale est de 64,7% tandis qu’il est de 56,1% parmi les confirmés. 3. Répartition géographique des cas Fig1.Répartition géographique des cas confirmés par Aires de santé dans la ZS de Bulape Fig2. Répartition géographique des zones de santé affectées, cas confirmés et décès liés à la MVE dans la province du Kasaï, RDC – Septembre 2025 4. Dynamique temporelle des cas de MVE dans la ZS Bulape La courbe épidémique est caractéristique d’une transmission interhumaine avec des clusters hebdomadaires de cas. Le cas présumé index a débuté les signes le 15 septembre 2025. Ensuite un premier foyer de forte transmission s’est crée à l’HGR de Bulape ou le cas est décédé, avec une série de décès parmi le personnel de santé durant la semaine qui a suivie. Un autre cluster des cas secondaires s’en est suivi à la deuxième semaine autour des décès communautaires, durant laquelle le laboratoire a confirmé les premiers cas. Au cours de la troisième semaine, un troisième cluster des cas est apparu avec un maximum de cas en date du 05 septembre 2025. Au cours de la quatrième semaine d’évolution, le cluster de cas a connu une notification maximale le 11 septembre 2025 avec six (6) cas notifiés. Progressivement les décès communautaires sont en train de diminuer avec la mise en œuvre de la réponse. 5. Suivi des contacts. Tableau 5. Suivi des contacts Indicateurs Nombre Report à suivre 990 Contact à suivre 990 Contacts suivis vus 944 Raisons de non suivi Taux de suivi de contact 95,3% Contacts non vus 46 Contacts suivis non vus 46 Absence simple ND Contacts devenu suspects 8 Reco n’est pas ND passé Sorties du suivi après 21 52 Perdus de vue ND jours Nouveaux contacts du jour 0 Jamais vus ND Contacts reportés 930 PDV 1 Sur un total 990 contacts à suivre, 944 contacts ont été vus soit une proportion de suivi de 95,3%. Huit (8) contacts sont devenus suspects et 52 (5,2%) sont sortis de la cohorte de suivi. III. ACTIONS DE LA RIPOSTE SURVEILLANCE ▪ Mise à jour des bases de données (cas, alertes, contacts et suivi des contacts) ▪ Mission d’investigation approfondie autours de 2 cas confirmés et de supervision de contacts à Bambalaie ▪ Briefing de 7 relais communautaires supplémentaires et 3 infirmiers de l’aire de santé de Mpatabamba sur le suivi des contacts; LABORATOIRE Indicateurs Données Observations Échantillons reçus (total) 14 Nouveaux cas suspects 6 Reprélèvements 8 Échantillons analyses 14 Nouceaux cas 6 Reprélèvements analyses 8 Résultats des tests Contrôle 8 5 positifs, 3 négatifs, Cas confirmés du jour 1 Non-cas du jour 5 Cumul des non-cas 82 Cumul total des cas confirmés 41 Quatorze (14) échantillons ont été reçus et analysés au laboratoire (dont huit pour contrôle et six (6) de nouveau cas suspects). Trois (3) des huit échantillons étaient contrôlés négatifs et un (1) nouveau cas suspect était diagnostiqué positif. A ce jour un total de 41 cas confirmés a été diagnostiqué. POINTS D’ENTREE ▪ Supervision formative des activités aux PoC MPIANGA. ▪ Trois mille cinq cent trois (3503) personnes sensibilisées aux points d’entrée des zones de santé de Bulape et Luebo. ▪ Trois mille trois cent septante huit (3378) Personnes screenées. ▪ Trois (3) alertes remontées. PRISE EN CHARGE MÉDICALE, NUTRITIONNELLE et PSYCHOSOCIALE Indicateurs Bulape Bambalaie Total Nombre de lits montés suspects 17 2 19 Nombre de lits montés confirmés 17 2 19 Nombre de cas suspects 9 2 11 Nombre de cas confirmés 13 2 15 Taux d'occupation Bloc suspects 52,9% 100% 57,8% Taux d'occupation Bloc confirmés 76,4% 100% 78,9% Nouveaux cas confirmés du jour 1 1 2 Décès parmi les confirmés 0 0 0 Guéris déchargés du jour 0 0 0 Total guéris déchargés 2 0 2 Un total de 26 malades étaient hospitalisés en date du 19/09/2025. Parmi ces malades il y a eu 11 suspects et 15 confirmés. Le taux d’occupation du bloc des suspects est de 57,8 % tandis que qu’il est de 78,9% % du coté de bloc des confirmés. Un total de deux (2) guéris ont déjà été déchargés des CTE. Les activités implémentées : ▪ Un (1) nouveau cas confirmé au CTE ▪ Deux (2) patients ont bénéficié du traitement spécifique (l’un au CTE Bambalaie confirmé hier et l’autre au CTE Bulape) ▪ 8 cas suspects en cours de transfère de bambalaie vers le CTE Bulape ▪ Le déchargement et vaccination de la dernière garde-malade qui restait chez les confirmés PCI/WASH ▪ Décontamination systématique de 8 locaux du bâtiment administratif de l’HGR/Bulape; ▪ Décontamination et bionettoyage au CSR Bambalaie autour du cas confirmé du 18/09, du PS Croix-Rouge ; ▪ Décontamination de 2 ménages où était passé le même cas confirmé ; ▪ Aménagement de 3 locaux (maternité, médecine interne femme et salle privée femme ; ▪ Séance de travail avec l’équipe de la croix rouge /RDC en rapport avec l’appui des activités d’EDS. ▪ Accompagnement de la surveillance dans la remontée de l’alerte d’un nourrisson de 8 mois de sexe féminin, avec général altéré, conjonctive pâle, convulsant, température 39°C, admis et traité au PS Bulape 3. VACCINATION ▪ Vaccination de 1210 personnes dont 439 PPL. ▪ Supervision des équipes de vaccination (Mbambalaie, Mpata Mbamba). ▪ Lancement de la commande de 1500 doses auprès du PEV Central. ▪ Poursuite de la Vaccination des humanitaires et les PPL, les contacts à Mpata Bamba et à Bambalaie. ▪ Planification en cours pour la stratégie géographique. COMMUNICATION ▪ Sensibilisation et orientation vers le ring de vaccination à Bulape de trois contacts à haut risque dont la veuve du cas décédé à Bambalaie, sa mère et sa belle-mère : toutes ont été vaccinées ; ▪ Fin de la formation de 75 relais communautaires de Bulape sur la surveillance à base communautaire et la CREC. ▪ Contextualisation aux réalités de terrain des messages clés. SECURITE ▪ Monitorage sécuritaire quotidien LOGISTIQUE ▪ Approvisionnement en intrants aux différents piliers. ▪ Appui logistique aux différents piliers. ▪ Déploiement sur terrain de 13 motos ▪ Approvisionnent des matériels dont 2 tonnes par hélico et 1 tonne par véhicule. IV. DEFIS ▪ Mise en place d’un centre d’alerte. ▪ Besoin en staff, matériels et réactifs additionnels pour installer un laboratoire de diagnostic de la MVE à Mweka et à Tshikapa. ▪ Finalisation des installations de matériel de CF ultra froid à Kananga et Tshikapa. ▪ Insuffisance en psychologues cliniciens. ▪ Prise en charge nutritionnelle. QUELQUES IMAGES DU TERRAIN Séance de déchargement des premières guéries d'Ebola sorties du CTE à Bulape au Kasaï accompagnées dans leurs ménages par la coordination de la réponse ce 16 Septembre 2025. Pour toute information Pour l’Institut National de Santé Publique (INSP) de la supplémentaire, RDC veuillez contacter Le Directeur Général de l’INSP Dr MWAMBA KAZADI Dieudonné Tel. : +243 816 040 145 E-mail : dieudonnemwambakazadi@gmail.com Le Coordonnateur COU-SP Prof NGANDU Christian Tél. : +243998091915 E-mail : nganduchristian@ymail.com L’Incident Manager SGI MVE Epi16 Dr. KITENGE OMASUMBU Richard Richard.kitenge@insp.cd Dr. TSHAPENDA Gaston tshapindon@gmail.com Pour l’Organisation Mondiale de la Santé (OMS) Le Représentant de l’OMS en RDC : Dr Nikiema Jean Baptist E-mail : nikiemaje@who.int Incident Manager de l’OMS dans la réponse MVE : Dr Mory Keita E-mail: mokeita@who.int Le Team Lead Cluster EPR de l’OMS en RDC :",2026-06-25 17:00:59.553708,candidate_ok,TRUE,selected_observed_candidate
14,cumulative_confirmed_cases,cases,51,observed,text_line,total_row_cases_deaths_cfr,2,"Total 51 33 64,71 41 23 56,1",2026-06-25 17:00:57.309238,candidate_ok,FALSE,invalidated_decreased_vs_sitrep_6_value_1881
14,cumulative_deaths,deaths,33,observed,text_line,total_row_cases_deaths_cfr,2,"Total 51 33 64,71 41 23 56,1",2026-06-25 17:00:57.311885,candidate_ok,FALSE,invalidated_decreased_vs_sitrep_6_value_1881
14,samples_analyzed,laboratory,14,observed,text_line,tbl_samples_analyzed,3,Échantillons analyses 14,2026-06-25 17:00:57.987261,candidate_ok,TRUE,selected_observed_candidate
15,alerts_investigated,surveillance,85,observed,text_line,narr_alerts_investigated,4," Pour la journée du 29 mai 2026, 132 alertes ont été remontées, dont 85 (64,3 %) investiguées et 71",2026-06-25 17:01:03.708052,candidate_ok,TRUE,selected_observed_candidate
15,alerts_reported,surveillance,0,observed,text_line,tbl_alerts_reported,3,Alertes remontées 0,2026-06-25 17:01:04.132678,candidate_ok,TRUE,selected_observed_candidate
15,case_fatality_ratio,deaths,54,observed,text_line,total_row_cases_deaths_cfr,2,"Total 60 13 54 263 42 2 3200 967 30,22%",2026-06-25 17:01:03.163824,candidate_ok,TRUE,selected_observed_candidate
15,cumulative_confirmed_cases,cases,60,observed,text_line,total_row_cases_deaths_cfr,2,"Total 60 13 54 263 42 2 3200 967 30,22%",2026-06-25 17:01:03.153191,candidate_ok,FALSE,invalidated_decreased_vs_sitrep_6_value_1881
15,cumulative_deaths,deaths,13,observed,text_line,total_row_cases_deaths_cfr,2,"Total 60 13 54 263 42 2 3200 967 30,22%",2026-06-25 17:01:03.158493,candidate_ok,FALSE,invalidated_decreased_vs_sitrep_6_value_1881
15,samples_analyzed,laboratory,70,observed,text_line,tbl_samples_analyzed,3,Nbre d’échantillons analysés 70 ND,2026-06-25 17:01:04.322077,candidate_ok,TRUE,selected_observed_candidate
15,samples_received,laboratory,70,observed,text_line,narr_samples_received,4,Échantillons reçus 70 758*,2026-06-25 17:01:04.230995,candidate_ok,TRUE,selected_observed_candidate
16,alerts_investigated,surveillance,84,observed,text_line,narr_alerts_investigated,4,"• Pour la journée du 29 mai 2026, 149 alertes ont été remontées, dont 84 (56,3 %) investiguées et 73",2026-06-25 17:01:10.002013,candidate_ok,TRUE,selected_observed_candidate
16,alerts_reported,surveillance,0,observed,text_line,tbl_alerts_reported,3,Alertes remontées 0,2026-06-25 17:01:10.174966,candidate_ok,TRUE,selected_observed_candidate
16,case_fatality_ratio,deaths,19,observed,text_line,total_row_cases_deaths_cfr,2,Total 23 19 19 22 44 10 5 142,2026-06-25 17:01:11.095195,candidate_ok,TRUE,selected_observed_candidate
16,cumulative_confirmed_cases,cases,23,observed,text_line,total_row_cases_deaths_cfr,2,Total 23 19 19 22 44 10 5 142,2026-06-25 17:01:11.090328,candidate_ok,FALSE,invalidated_decreased_vs_sitrep_6_value_1881
16,cumulative_deaths,deaths,19,observed,text_line,total_row_cases_deaths_cfr,2,Total 23 19 19 22 44 10 5 142,2026-06-25 17:01:11.092879,candidate_ok,FALSE,invalidated_decreased_vs_sitrep_6_value_1881
16,samples_collected,laboratory,52,observed,text_line,narr_samples_collected,4,"• Au terme de la journée du 30 mai 2026, 52 nouveaux échantillons ont été collectés et analysés au",2026-06-25 17:01:10.221705,candidate_ok,TRUE,selected_observed_candidate
16,samples_positive,laboratory,19,observed,text_line,narr_samples_positive,4,"laboratoire, 19 sont revenus positifs (36,5% de taux de positivité).",2026-06-25 17:01:10.243036,candidate_ok,TRUE,selected_observed_candidate
17,alerts_investigated,surveillance,170,observed,text_line,tbl_alerts_investigated,3,"Alertes investiguées 170 (88,5%) ≥ 95% En dessous de la cible",2026-06-25 17:01:15.276323,candidate_ok,TRUE,selected_observed_candidate
17,alerts_investigation_rate,surveillance,88.5,observed,text_line,tbl_alerts_investigation_rate,3,"Alertes investiguées 170 (88,5%) ≥ 95% En dessous de la cible",2026-06-25 17:01:15.278419,candidate_ok,TRUE,selected_observed_candidate
17,alerts_reported,surveillance,192,observed,text_line,tbl_alerts_reported,3,Alertes remontées 192 ... ...,2026-06-25 17:01:15.261263,candidate_ok,TRUE,selected_observed_candidate
17,alerts_validated,surveillance,117,observed,text_line,tbl_alerts_validated,3,"Alertes validées 117 (68,8%) ... ...",2026-06-25 17:01:15.292877,candidate_ok,TRUE,selected_observed_candidate
17,case_fatality_ratio,deaths,15,observed,text_line,total_row_cases_deaths_cfr_hz,1,"Total 321 48 15,0% 23 sur 104 (22,1%) 12",2026-06-25 17:01:14.828475,candidate_ok,TRUE,selected_observed_candidate
17,cases_ituri,cases,299,observed,text_line,province_row_ituri,2,"Ituri 299 46 15,4% 15 sur 36 (41,7%) 12",2026-06-25 17:01:14.771773,candidate_ok,TRUE,selected_observed_candidate
17,cases_nordkivu,cases,19,observed,text_line,province_row_nordkivu,2,"Nord-Kivu 19 1 5,3% 7 sur 34 (20,6%) 0",2026-06-25 17:01:14.789511,candidate_ok,TRUE,selected_observed_candidate
17,cases_sudkivu,cases,3,observed,text_line,province_row_sudkivu,2,"Sud-Kivu 3 1 33,3% 1 sur 34 (2,9%) 0",2026-06-25 17:01:14.80563,candidate_ok,TRUE,selected_observed_candidate
17,cumulative_confirmed_cases,cases,321,observed,text_line,total_row_cases_deaths_cfr_hz,1,"Total 321 48 15,0% 23 sur 104 (22,1%) 12",2026-06-25 17:01:14.823107,candidate_ok,FALSE,invalidated_decreased_vs_sitrep_6_value_1881
